tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	mt	0.0	276.7	38.5	4.1	2	1	100.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	859.0	803.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	mt	0.0	268.4	38.1	4.1	2	1	0.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	859.0	803.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	lt	26.3	2.4	58.7	1.7	2	4	0.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	lt	26.3	194.0	6.4	1.7	2	4	-1.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	mt	0.0	133.5	5.6	4.1	2	1	-1.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	859.0	803.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	lt	26.3	3.0	48.3	1.7	2	4	100.0	CB10-5a_LP-DIR-T	hargrave 2021-11-18 16:22:46	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-5	pmagpy-4.2.24-1: demag_gui	CB10-5a
This study	lt	24.5	221.4	43.5	1.8	2	3	-1.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study	mt	0.0	208.3	-5.6	1.9	2	12	-1.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study	lt	24.5	358.0	54.6	1.8	2	3	0.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study	mt	0.0	276.1	45.3	1.9	2	12	0.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study	lt	24.5	359.3	44.3	1.8	2	3	100.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study	mt	0.0	286.4	44.1	1.9	2	12	100.0	CB10-6a_LP-DIR-T	hargrave 2021-11-18 16:24:17	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-6	pmagpy-4.2.24-1: demag_gui	CB10-6a
This study															LP-NOMAG		CB10-6		CB10-6a
This study															LP-NOMAG		CB10-7		CB10-7a
This study	lt	29.2	359.7	52.8	1.0	2	3	100.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	mt	0.0	281.0	36.6	2.4	2	11	100.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	859.0	793.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	mt	0.0	273.2	37.0	2.4	2	11	0.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	859.0	793.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	lt	29.2	357.9	63.1	1.0	2	3	0.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	mt	0.0	325.3	50.8	2.4	2	11	-1.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	859.0	793.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	lt	29.2	92.3	67.4	1.0	2	3	-1.0	CB10-7a_LP-DIR-T	hargrave 2021-11-18 16:25:45	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-7	pmagpy-4.2.24-1: demag_gui	CB10-7a
This study	mt	0.0	225.5	-0.1	1.5	2	12	-1.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
This study	lt	27.4	357.2	70.2	1.3	2	3	0.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
This study	lt	27.4	359.6	59.8	1.3	2	3	100.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
This study	mt	0.0	275.0	40.1	1.5	2	12	100.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
This study	lt	27.4	190.0	43.1	1.3	2	3	-1.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
This study	mt	0.0	266.3	39.4	1.5	2	12	0.0	CB10-8a_LP-DIR-T	hargrave 2021-11-18 16:27:12	u	859.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB10-8	pmagpy-4.2.24-1: demag_gui	CB10-8a
